Gene	OF3_OO_sc.1	OF3_OO_sc.2	OF3_OO_sc.3	OF3_OO_sc.4	OF3_OO_sc.5	OF3_OO_sc.6	OF3_OO_sc.7	OF3_OO_sc.8	OF3_OO_sc.9	OF3_OO_sc.10	OF3_OO_sc.11	OF3_OO_sc.12	OF3_OO_sc.13	OF3_OO_sc.14	OF3_OO_sc.15	OF3_OO_sc.16	OF3_OO_sc.17	OF3_OO_sc.18	OF3_OO_sc.19	OF3_OO_sc.20	OF3_OO_sc.21	OF3_OO_sc.22	OF3_OO_sc.23	OF3_OO_sc.24	OF3_OO_sc.25	OF3_OO_sc.26	OF3_OO_sc.27	OF3_OO_sc.28	OF3_OO_sc.29	OF3_OO_sc.30	OF3_OO_sc.31	OF3_OO_sc.32	OF3_OO_sc.33	OF3_OO_sc.34	OF3_OO_sc.35	OF3_OO_sc.36	OF3_OO_sc.37	OF3_OO_sc.38	OF3_OO_sc.39	OF3_OO_sc.40	OF3_OO_sc.41	OF3_OO_sc.42	OF3_OO_sc.43	OF3_OO_sc.44
FBXO3	6	7	5	1	0	8	5	9	0	5	4	17	1	7	6	23	4	12	10	30	15	7	0	5	1	0	14	0	19	25	13	19	0	1	1	3	3	3	1	5	2	2	4	0
FBXO30	0	0	0	0	0	2	2	6	0	1	0	25	0	0	5	36	4	2	8	46	18	3	0	1	1	0	7	0	25	21	4	6	0	0	0	3	0	4	6	1	0	3	2	0
FBXO31	1	0	2	1	0	0	0	0	0	0	0	6	0	0	0	2	0	1	3	8	4	0	0	0	0	0	4	0	5	2	2	0	0	0	1	0	0	2	1	1	0	1	1	0
FBXO32	0	3	3	0	3	2	2	4	0	2	1	18	3	3	3	26	1	5	21	27	6	3	0	0	1	1	11	3	14	19	8	7	0	4	2	2	3	7	5	3	7	2	3	0
FBXO33	4	1	2	5	2	1	0	8	0	2	2	42	0	0	2	49	1	14	10	45	11	5	0	2	0	1	16	2	27	29	12	16	1	0	0	3	0	3	5	2	2	1	4	0
FBXO34	5	2	12	3	14	14	4	10	0	11	7	100	3	18	32	133	18	52	24	180	17	15	8	4	6	1	106	8	86	134	49	62	2	2	7	8	4	10	19	32	2	8	7	1
FBXO36	3	1	2	0	2	0	0	2	0	2	0	13	0	1	0	24	0	12	7	31	6	0	0	2	0	0	10	0	20	12	7	8	1	2	1	1	3	0	3	2	1	1	2	0
FBXO38	2	1	2	0	0	5	0	2	0	3	3	15	2	0	4	12	2	4	7	20	4	2	0	0	1	0	5	0	7	10	4	4	0	1	0	1	1	1	0	2	1	1	0	0
FBXO39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO4	4	0	2	2	1	0	2	1	0	7	1	22	1	10	6	46	4	15	27	58	8	2	0	3	1	0	24	0	23	32	28	22	1	1	3	5	2	2	10	10	1	0	4	0
FBXO40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO41	0	1	0	1	0	0	0	1	0	1	2	4	1	0	0	6	1	0	2	10	0	6	0	0	0	0	6	0	3	6	2	1	1	1	0	1	3	0	0	0	0	1	1	0
FBXO42	0	0	0	0	0	1	1	0	0	1	1	6	0	0	1	6	0	2	4	4	0	2	0	2	0	0	3	1	2	0	3	0	1	1	0	1	2	0	0	7	3	0	0	0
FBXO43	1	0	2	1	1	1	0	0	0	0	2	9	1	0	2	10	0	6	6	19	7	1	0	1	1	0	15	1	4	7	5	4	0	0	0	0	2	2	3	2	0	2	0	0
FBXO44	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	2	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	1	1	0	2	0
FBXO45	1	0	0	0	0	0	0	0	0	0	1	6	0	0	0	7	1	0	0	9	2	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0	0	0	1	0	0	0	0
FBXO46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO47	0	0	0	0	0	0	0	0	0	3	2	3	0	0	0	5	1	1	1	4	1	0	0	0	0	0	2	1	5	6	1	5	0	0	1	1	3	2	1	0	0	0	0	0
FBXO48	0	1	1	0	1	0	0	5	0	0	0	4	0	1	0	4	0	2	4	9	1	1	0	0	1	0	3	4	5	3	2	3	0	0	2	4	0	3	1	1	1	1	1	0
FBXO5	4	0	1	2	1	1	1	3	0	8	0	44	3	2	10	141	2	22	18	167	21	3	3	2	1	0	32	2	56	51	22	24	0	2	1	1	1	1	12	5	7	1	1	1
FBXO6	1	0	0	0	1	0	1	0	0	1	2	8	0	1	2	19	0	3	11	21	2	2	2	2	0	0	10	3	3	6	6	3	0	1	2	1	5	4	3	2	4	1	0	0
FBXO7	6	3	2	4	9	11	3	10	0	2	2	43	6	5	12	56	2	10	31	53	8	8	2	14	2	1	42	7	30	33	27	14	2	0	4	8	7	7	12	5	11	4	2	1
FBXO8	5	6	5	3	4	10	6	13	0	17	1	36	3	8	13	50	7	25	27	47	15	7	2	4	1	0	33	3	27	39	40	26	2	0	3	4	7	8	8	7	3	3	2	0
FBXO9	5	2	6	2	5	5	2	9	0	3	1	40	0	3	4	98	4	24	18	102	25	1	1	1	2	0	47	2	35	64	24	27	0	1	0	3	3	5	7	17	4	1	3	2
FBXW11	2	6	4	2	3	6	8	9	0	6	10	42	1	10	15	91	5	34	19	121	20	5	0	15	3	0	63	8	41	74	27	36	1	4	2	2	3	12	15	9	6	2	9	0
FBXW12	9	6	9	6	14	10	14	24	1	37	5	170	2	4	38	579	19	99	91	567	168	11	8	9	4	0	110	11	321	211	61	59	10	5	9	16	34	29	37	15	10	12	11	1
FBXW2	1	2	1	0	0	0	0	1	0	2	0	8	0	2	1	16	0	0	9	20	5	0	0	1	0	0	4	0	4	12	4	3	0	0	0	0	0	0	2	1	0	0	0	0
FBXW4	0	4	1	0	0	0	0	5	0	2	1	3	1	2	1	6	2	4	6	9	3	1	1	1	4	0	9	0	2	1	8	8	0	0	2	2	0	0	0	2	1	0	1	0
FBXW5	0	0	0	0	2	1	1	0	0	0	2	4	0	0	1	6	1	0	3	8	2	3	0	1	0	0	1	1	2	5	5	1	0	1	2	1	1	1	1	1	5	2	0	0
FBXW7	9	4	5	1	7	8	7	11	0	8	7	47	3	2	6	59	7	30	18	54	20	17	1	6	3	0	31	0	51	31	23	11	1	4	4	8	6	3	7	10	4	5	4	0
FBXW8	0	0	0	0	1	6	5	1	0	2	0	0	0	0	1	2	0	1	1	3	2	2	1	0	0	0	0	0	2	3	1	0	0	0	0	0	0	2	0	2	0	0	0	0
FBXW9	0	1	0	1	3	2	1	0	0	0	2	15	0	3	0	30	0	4	21	20	5	3	3	2	1	0	7	2	4	13	3	3	0	1	3	1	6	0	5	1	5	0	1	0
FCAMR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
FCER1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FCER1G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
FCER2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR2B	75	37	11	8	33	34	62	61	1	78	38	68	53	21	25	443	31	74	68	636	250	2	3	9	5	1	114	18	277	290	203	88	40	14	11	20	19	119	66	51	10	8	97	0
FCGR3A	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
FCGRT	3	1	1	1	2	2	1	3	0	0	2	18	1	1	3	9	1	5	2	28	1	1	2	3	1	0	10	18	5	9	4	3	3	0	4	2	4	3	3	5	6	2	4	0
FCHO1	1	3	2	0	5	1	2	6	0	5	0	41	0	1	5	75	4	20	33	78	13	3	2	4	0	0	28	1	26	28	19	3	3	0	0	5	5	5	1	8	11	0	3	1
FCHO2	4	2	5	0	5	3	1	1	0	3	7	13	0	3	3	12	1	12	5	31	3	0	1	1	1	0	22	5	10	12	7	7	1	2	0	1	4	3	6	9	0	1	1	0
FCHSD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FCHSD2	1	5	1	1	1	2	1	3	0	1	0	10	0	0	3	15	1	5	3	18	2	1	0	0	0	0	9	4	9	10	3	3	1	3	1	0	2	2	1	1	1	4	2	0
FCMR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
FCN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
FCRL1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRLA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRLB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDCSP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDFT1	17	17	18	4	33	7	13	20	0	35	11	194	4	23	41	280	17	74	193	233	76	44	10	20	9	1	194	15	160	161	104	63	14	8	8	16	24	16	37	31	42	20	26	4
FDX2	12	9	18	4	24	32	13	21	0	21	10	180	6	28	35	333	19	62	54	269	95	27	11	20	5	2	89	2	191	174	79	97	17	2	16	21	25	46	56	53	28	9	22	1
FDXACB1	0	0	0	0	0	1	0	0	0	1	2	0	0	1	1	3	0	0	2	4	1	3	0	0	1	0	0	0	1	0	4	1	0	0	0	0	1	1	0	1	1	0	2	0
FDXR	1	1	1	0	0	0	0	2	0	2	0	2	0	0	0	9	1	6	11	5	0	0	0	1	0	0	1	1	3	3	4	3	0	0	0	0	3	1	0	1	2	0	2	0
FECH	0	0	0	0	0	0	1	1	0	2	0	1	0	1	2	9	1	2	1	8	7	3	0	0	0	0	3	0	1	8	3	3	0	0	2	0	1	1	0	0	0	0	2	1
FEM1A	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FEM1B	0	0	0	0	1	3	0	5	1	0	0	13	0	2	5	15	1	2	3	10	5	1	1	5	0	0	4	1	6	12	3	3	0	0	1	0	1	1	0	4	2	0	1	0
FEM1C	1	0	3	0	0	1	0	2	0	1	2	12	2	0	4	12	4	2	1	20	9	2	0	0	0	0	4	3	7	6	3	4	0	0	0	4	0	1	1	2	2	0	1	0
FEN1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	4	0	0	0	0	0	0	2	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FER	2	1	1	1	2	2	4	9	1	6	3	33	4	9	6	43	2	15	6	52	15	6	4	7	1	0	36	3	31	72	19	34	1	1	2	2	5	5	4	9	4	6	6	0
FER1L5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FER1L6	5	4	4	3	2	13	9	11	0	3	12	37	0	7	7	40	4	24	20	69	15	1	7	15	1	0	32	16	31	48	39	36	1	5	1	5	11	19	24	12	5	3	6	0
FERD3L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FERMT1	0	0	0	1	0	1	0	4	0	1	0	4	0	0	0	9	1	4	1	15	1	2	0	0	0	0	11	2	4	4	2	0	0	0	0	1	0	0	0	0	0	0	2	0
FERMT2	16	11	16	5	26	16	18	51	0	37	16	182	3	11	53	207	22	110	156	180	72	24	3	21	14	1	174	28	120	174	96	87	5	10	9	20	7	15	25	18	15	15	16	4
FERMT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FETUB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEV	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEZ1	6	4	2	2	0	0	3	4	0	1	0	24	0	4	1	26	3	15	18	37	7	6	0	2	0	0	13	0	24	30	13	12	0	1	4	4	2	1	9	18	5	2	1	0
FEZ2	15	1	8	0	5	11	5	37	0	28	6	218	4	2	24	460	9	109	104	404	76	28	2	1	12	0	200	2	208	241	72	83	1	3	1	2	1	8	13	14	5	6	3	0
FEZF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FEZF2	8	5	2	0	5	0	0	4	0	1	1	6	0	0	6	6	0	5	2	7	4	2	1	2	0	0	4	0	6	3	4	3	2	0	3	1	0	3	6	3	0	2	2	0
FFAR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFAR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFAR4	0	0	0	0	1	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	2	5	3	1	0	0	0	0	0	3	0	1	0	0	0	0
FGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGD3	1	0	0	1	0	0	1	6	0	2	1	20	0	0	1	23	1	8	9	23	7	2	1	0	0	0	2	0	11	15	5	3	0	1	0	2	0	0	1	5	5	0	1	0
FGD4	3	0	0	1	4	0	3	6	0	1	4	14	1	4	1	30	1	9	13	37	4	1	1	2	2	0	15	1	15	18	10	9	2	0	2	2	0	6	2	1	2	0	1	0
FGD5	0	0	0	0	0	1	0	0	0	2	1	3	0	0	1	10	0	4	1	7	5	2	0	2	2	0	1	0	11	5	0	0	0	0	0	0	0	0	1	0	1	0	1	0
FGD6	2	4	0	1	5	2	2	6	0	8	1	22	1	8	4	32	1	9	5	32	4	4	1	3	2	0	20	1	19	34	16	9	1	3	0	0	2	13	6	2	1	1	6	0
FGF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FGF12	2	1	1	1	1	1	2	4	0	1	1	11	2	4	4	12	1	5	3	7	2	0	1	2	0	1	9	0	13	6	7	3	0	1	2	0	1	1	1	2	0	0	3	0
FGF13	0	2	0	2	0	3	0	0	0	1	1	7	0	0	0	8	0	2	6	13	2	0	0	0	0	0	3	1	3	4	8	1	0	1	0	1	3	3	1	0	2	0	2	0
FGF14	7	1	5	0	9	6	5	15	0	7	2	32	1	3	17	75	7	24	10	94	24	7	2	7	2	0	23	7	73	58	24	41	1	1	6	0	8	1	7	14	1	2	10	0
FGF16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF17	0	0	0	0	1	0	0	0	0	0	0	6	0	0	1	14	1	2	0	12	1	1	0	2	0	0	2	0	6	1	3	1	0	1	0	1	0	0	2	0	0	1	0	0
FGF18	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF20	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	4	1	8	0	0	0	0	0	0	1	0	0	9	1	0	0	0	0	1	0	0	0	0	0	0	0	0
FGF21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF6	0	0	0	0	0	0	0	1	0	0	0	5	0	0	2	11	2	3	7	15	3	1	1	0	0	0	5	0	8	12	5	0	0	0	0	0	0	4	1	0	4	1	2	0
FGF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FGF8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF9	5	5	6	0	3	6	2	10	0	8	7	28	3	6	9	48	8	15	30	54	16	4	1	4	2	1	20	2	35	44	22	17	0	0	1	3	6	16	4	7	3	7	2	1
FGFR1	4	0	2	2	5	1	1	1	0	2	6	25	0	1	1	55	1	7	6	54	9	4	0	2	4	1	13	5	23	18	12	9	3	2	0	5	2	5	0	4	2	2	4	0
FGFR1OP	2	2	4	1	4	4	1	7	0	5	4	20	1	3	3	37	3	17	14	33	10	5	1	9	3	0	24	3	20	46	19	18	1	1	3	6	2	5	3	3	3	3	0	0
FGFR1OP2	5	4	6	6	18	16	8	19	0	18	8	63	4	12	11	90	16	39	29	85	29	11	5	9	4	2	53	10	52	100	20	39	1	5	8	12	13	27	15	25	6	9	15	0
FGFR2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	2	1	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
FGFR3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	1	0	1	3	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0
FGFR4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGFRL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGGY	0	0	2	1	4	1	1	3	0	0	1	12	0	0	3	38	1	10	7	36	2	2	1	1	1	0	11	0	9	28	8	5	0	2	0	1	0	3	2	3	0	1	4	0
FGL1	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGL2	2	0	2	0	1	0	3	0	0	0	0	1	0	0	0	1	0	0	1	1	4	0	0	0	0	0	2	15	1	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0
FGR	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FH	3	8	4	0	7	10	7	11	0	11	3	47	6	12	13	107	4	28	52	113	25	16	5	16	1	1	63	6	83	64	44	32	0	4	2	7	8	7	12	11	10	6	9	0
FHAD1	0	0	0	0	3	0	0	0	0	1	1	2	0	0	0	1	1	1	4	7	0	0	1	0	2	0	2	0	4	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0
FHDC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
FHIT	12	15	19	5	10	18	12	24	0	34	7	122	5	14	40	280	16	63	54	237	97	13	6	17	6	1	131	6	183	189	71	69	4	6	5	17	13	26	9	28	6	8	29	1
FHL1	1	0	0	0	5	1	0	2	0	0	4	0	0	6	0	0	3	0	2	0	1	0	1	1	0	0	0	11	1	0	1	0	0	1	0	3	3	6	2	2	7	0	2	0
FHL2	2	0	2	1	0	0	0	2	0	7	0	42	0	0	0	48	2	11	4	39	16	1	0	0	0	0	18	2	21	25	18	7	0	0	0	0	0	0	4	0	2	3	0	0
FHL3	2	1	1	0	2	0	5	2	0	1	2	11	0	1	0	10	3	6	8	11	2	3	0	2	0	0	4	2	5	9	7	4	0	0	1	3	0	4	3	7	5	0	1	1
FHL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FHOD1	0	0	0	2	1	0	0	2	0	1	0	11	1	2	2	17	1	4	6	7	5	4	1	3	2	0	7	0	2	6	0	3	0	0	0	1	1	2	1	2	1	1	1	0
FHOD3	4	4	6	1	7	6	5	15	0	12	2	76	0	8	18	135	11	40	35	208	30	13	1	6	3	0	60	2	81	78	49	43	4	0	5	7	8	7	15	11	6	1	3	0
FIBCD1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
FIBP	1	2	4	1	9	3	2	9	0	4	5	41	0	8	14	57	1	27	39	55	7	8	3	7	1	2	45	8	27	45	42	27	2	1	2	10	17	11	19	20	9	5	8	1
FICD	1	0	1	0	3	2	1	2	0	3	8	17	0	0	0	20	1	3	8	8	4	1	0	0	2	0	6	0	7	14	4	4	0	1	0	1	0	0	0	6	1	0	0	0
FIG4	2	1	2	3	3	3	0	2	0	3	4	10	2	2	4	11	0	5	21	26	5	3	0	4	0	0	6	2	10	14	7	8	2	1	2	1	1	4	5	2	3	2	9	0
FIGLA	41	16	25	24	100	80	45	72	0	51	56	482	13	85	94	812	76	243	244	614	198	96	31	107	21	0	383	47	470	474	347	297	18	17	46	70	92	127	142	129	64	50	85	15
FIGN	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FIGNL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FILIP1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	4	0	0	1	1	0	0	0	0	0	0	0	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FILIP1L	1	3	5	0	5	3	1	3	0	5	2	25	1	4	12	39	3	27	8	43	9	7	5	1	4	0	24	8	22	46	21	12	0	1	1	3	5	1	6	10	3	2	5	1
